epoch,train_loss,val_loss
0,0.00028033545899575074,1.9962702140219335e-06
1,8.569680324477247e-07,3.2215439986771345e-07
2,8.107189030104322e-08,4.829063087186114e-08
3,2.593120641547486e-08,2.448121252385249e-08
4,1.8707574800380657e-08,1.9676086271402937e-08
5,1.5035740780211527e-08,2.2364815510655944e-08
6,1.385167651690722e-08,2.3747106681071272e-08
7,1.2636179161362727e-08,1.0696204588711566e-08
8,9.367967013229617e-09,7.80824962465232e-09
9,8.143882401778768e-09,7.656238398823234e-09
10,6.720468032073157e-09,4.861517921561642e-09
11,5.098432198646919e-09,3.6384163348834873e-09
12,3.964453365590259e-09,4.874812353783398e-09
13,3.952746169266774e-09,2.8053788625470587e-09
14,2.743458235587859e-09,2.6209090675521906e-09
15,2.612283712954966e-09,3.5303165279998437e-09
16,1.6466818471283506e-09,2.8161237008994534e-09
17,1.9984313273657685e-09,2.8638697080474175e-09
18,2.0053499319439007e-09,1.829424600696683e-09
19,1.5121997390399323e-09,1.0629769620074115e-09
