epoch,train_loss,val_loss
0,0.00022864573603555982,6.368273443513317e-06
1,1.5584040686356105e-06,5.1505318943156905e-08
2,4.097181247608717e-08,3.791142813014403e-08
3,3.2571083519172815e-08,3.5603775039305674e-08
4,3.30099236500736e-08,2.825380347459827e-08
5,2.7213926523383945e-08,2.6233719641055586e-08
6,2.5723215835160573e-08,2.3138586158211183e-08
7,2.3666994530824326e-08,2.0625086527559233e-08
8,2.209032541888867e-08,2.3985096575529496e-08
9,1.731185258480039e-08,1.816709893631696e-08
10,1.447650657127042e-08,1.3474906213062355e-08
11,1.5434704833672264e-08,1.7822896625219185e-08
12,1.67198843992189e-08,1.6709035755013702e-08
13,1.4489874455847485e-08,1.0852726850529848e-08
14,9.7152972777792e-09,7.1903901721626085e-09
15,9.052663413333662e-09,9.368959252853415e-09
16,7.534937576658685e-09,5.4088213241598735e-09
17,5.46832265579944e-09,6.343324776558746e-09
18,4.094802713572321e-09,4.815240517430652e-09
19,4.024790814516344e-09,3.190487518622831e-09
