epoch,train_loss,val_loss
0,0.0010964227484009826,8.274819492726238e-06
1,4.797486035101883e-06,5.493412686519151e-07
2,2.448255956188916e-07,1.4946548887451172e-07
3,1.4641677843485467e-07,1.1342850783080394e-07
4,1.3442393962392884e-07,1.450288849014214e-07
5,1.181675762573775e-07,1.4111701105434804e-07
6,1.0384998070378514e-07,1.053442581167019e-07
7,1.0517070117010974e-07,1.4193684734209454e-07
8,9.78886879554608e-08,6.576535405145023e-08
9,8.477711186394287e-08,9.306329786795687e-08
10,7.617233892531771e-08,1.0375287473607386e-07
11,8.159204081259475e-08,5.178364599345287e-08
12,4.974267182600301e-08,4.057304021642949e-08
13,5.504391373811757e-08,5.6779908064186205e-08
14,4.631241039554368e-08,2.997506474144984e-08
15,3.421305481143833e-08,2.7329627361183383e-08
16,3.8653392953058584e-08,1.9736490397548322e-08
17,4.127338791848345e-08,5.785526795420992e-08
18,2.9317368066550388e-08,5.317850977348826e-08
19,2.3596601073094802e-08,2.683486677312885e-08
20,1.9156735564518358e-08,1.232874433654274e-08
21,2.4647708030123284e-08,5.587218794289584e-08
22,2.172456173843429e-08,2.0965031755082465e-08
23,1.898411814416079e-08,1.2114001624041749e-08
24,2.4597379089108528e-08,2.511789354286975e-08
25,2.0933697625347137e-08,7.661362255717564e-09
26,9.520086741154899e-09,4.271173570380426e-09
27,6.81699607874009e-09,7.742634156038263e-09
28,1.002321481924362e-08,1.337412776081237e-08
29,1.3874597060148374e-08,1.2927480419477888e-08
30,5.274808562161226e-09,2.9843818083463704e-09
31,9.311812515511164e-09,3.6358100308220285e-09
32,6.476470461314055e-09,2.888244710064214e-09
33,4.443484302729672e-09,4.198810277245002e-09
34,6.639871813485243e-09,2.3903362489363646e-08
35,7.631484782999464e-09,3.679370186304709e-09
36,3.630256129039111e-09,1.999773668881488e-09
37,4.303656125914657e-09,2.2707074165406736e-09
38,4.172170797733799e-09,2.839017032574276e-09
39,5.887735776699543e-09,2.381398511719368e-09
40,4.9403779012191505e-09,5.8777157363465445e-09
41,5.636989022783645e-09,1.2607090660310404e-08
42,6.891050458035508e-09,2.6923695883862566e-09
43,5.616318241030705e-09,1.0340200962133395e-08
44,1.0267749564474293e-08,3.921253921568279e-09
45,8.680444432696e-09,9.061662753495625e-09
46,7.45909553290236e-09,2.0840445924541482e-09
47,2.8894778972277102e-08,8.313785215818825e-09
48,1.0184456520567765e-06,1.230024196274826e-07
49,6.111683631404574e-08,1.0935031635739278e-08
