epoch,train_loss,val_loss
1,0.00045050699507156403,4.498765830242198e-06
2,1.987829758524263e-06,3.315934434919886e-07
3,1.694786983229855e-07,6.526535582126741e-08
4,6.802384099038003e-08,5.5593019947856844e-08
5,5.425375459891456e-08,1.0296139658508122e-07
6,6.681726237449833e-08,9.906862593023856e-08
7,5.190354049211803e-08,2.3403782249877346e-08
8,2.6362872080476225e-08,3.379877885193167e-08
9,6.72387374613081e-08,7.25203437867754e-08
10,3.214551248371504e-08,2.683964055798211e-08
11,3.794459573214226e-08,7.148566099852574e-08
12,2.4916370408646332e-08,1.5394814643120664e-08
13,3.174476050698958e-08,1.4213882017358236e-07
14,7.04242881809938e-08,9.27805627533334e-09
15,2.0041766388484293e-08,1.562517312051198e-08
