epoch,train_loss,val_loss
0,0.0002312511924401406,1.5254579579959681e-06
1,5.246933294511535e-07,9.615060463374902e-08
2,2.9597849682261312e-08,1.0939034456036723e-08
3,1.0482043388826413e-08,1.587492963750492e-08
4,8.244074578556138e-09,6.946385422423873e-09
5,7.51364318540837e-09,6.891659304342212e-09
6,6.654558043495129e-09,5.936858071819984e-09
7,7.073431140813824e-09,6.648330486136444e-09
8,5.213139803172951e-09,4.9352109066092e-09
9,4.978560547153066e-09,4.741403469843419e-09
10,5.515122430965746e-09,4.140286091747214e-09
11,3.8889693243504554e-09,7.469289942108048e-09
12,5.201018257738887e-09,3.716905261352821e-09
13,7.3547982371025e-09,1.1362710461426673e-08
14,7.36764156350489e-09,2.9151717595432556e-09
15,3.4733753928595235e-09,4.276378806622461e-09
16,2.988763672662209e-09,3.180625962606598e-09
17,3.0713633442092103e-09,2.9570704551673544e-09
18,3.4228056777774185e-09,3.176760865475359e-09
19,3.8774602417745996e-09,6.714866884749426e-09
20,3.20267989073475e-09,1.9546568974515564e-09
21,2.9182719046838555e-09,2.5862195246473262e-09
22,3.2534515650994854e-09,8.480798063814632e-09
23,3.258244710147018e-09,4.2955716761383655e-09
24,3.2716830355994375e-09,5.651032419784485e-09
25,4.172052774087387e-09,2.1496454394309695e-09
26,2.272692359306383e-09,2.0264674605030563e-09
27,2.1169860128789074e-09,2.066079546336752e-09
28,2.528021073033848e-09,2.091256323666357e-09
29,1.7657489838340812e-09,2.8175411226349923e-09
30,2.1061149484136175e-09,3.582223839782017e-09
31,2.0999890250339438e-09,5.511290668280822e-09
32,3.8627517531808485e-09,4.52630204428317e-09
33,3.812824041216078e-09,9.338242357159742e-09
34,2.07261687534821e-09,8.780737248414994e-10
35,7.556640135852889e-09,2.0479952134166978e-08
36,3.190530823093951e-07,7.718131428191555e-07
37,1.713057762753323e-07,8.835137812468475e-08
38,3.5242151580350266e-08,4.461700306990224e-08
39,1.0402947188403732e-08,2.576015867283843e-09
40,1.0490376928240508e-09,8.985707178332802e-10
41,1.6976013671177182e-09,1.1125635357434049e-09
42,5.775447259326327e-10,4.046432862392368e-10
43,4.490311216603926e-10,3.3555279249641854e-10
44,4.4088520629453896e-10,3.0634706438270596e-10
45,3.448449909307372e-10,6.130644658597362e-10
46,4.909110427192553e-10,7.817995084646867e-10
47,4.483420395356985e-10,2.0271043663089294e-10
48,5.498792036290334e-10,4.3684872524929477e-10
49,5.269386109743591e-10,6.117617079581805e-10
